File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\application\views\admin\announcement_create.php,33,24,0,0,9,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\announcement_edit.php,37,27,0,0,10,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\game_create.php,38,26,0,0,12,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\game_edit.php,39,28,0,0,11,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\header_content.php,60,53,10,1,7,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\main_content.php,14,13,0,0,1,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\match_create.php,194,150,46,7,44,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\match_edit.php,198,155,55,8,43,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\match_update.php,66,40,1,0,26,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\news_create.php,38,26,0,0,12,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\news_edit.php,37,27,0,0,10,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\profile.php,32,28,0,0,4,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\team_create.php,64,51,6,0,13,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\admin\team_edit.php,65,48,3,0,17,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\cli\error_404.php,8,7,2,0,1,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\cli\error_db.php,8,7,2,0,1,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\cli\error_exception.php,22,16,0,0,6,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\cli\error_general.php,8,7,2,0,1,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\cli\error_php.php,22,16,0,0,6,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\html\error_404.php,64,57,35,0,7,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\html\error_db.php,64,57,35,0,7,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\html\error_exception.php,32,22,1,0,10,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\html\error_general.php,64,57,35,0,7,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\errors\html\error_php.php,33,22,1,0,11,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes\footer.php,85,72,27,0,13,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes\header.php,126,115,49,0,9,0,2,7,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes\header_blog.php,55,50,0,0,5,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes\header_content.php,51,45,4,1,6,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes\main_content.php,185,139,15,3,46,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\views\includes\view_all_announcements.php,55,45,8,1,10,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\db_file\uscsports (2-7-16).sql,675,482,0,0,62,7,131,228,8,22
D:\xampp\htdocs\uscsportsportal\db_file\uscsports (archieledit).sql,382,208,0,0,56,7,118,209,8,22
D:\xampp\htdocs\uscsportsportal\db_file\uscsports.sql,244,143,0,0,41,7,60,130,8,22
D:\xampp\htdocs\uscsportsportal\filemanager\ajax_calls.php,574,507,229,69,57,6,10,65,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\dialog.php,997,889,362,85,88,2,20,85,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\execute.php,427,350,227,80,56,0,21,87,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\force_download.php,64,47,26,7,16,2,1,19,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\upload.php,192,155,93,30,26,5,11,69,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\config\config.php,364,106,6,2,48,30,210,1382,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\include\mime_type_lib.php,301,238,26,18,20,0,43,230,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\include\php_image_magician.php,3784,2850,1261,343,612,44,322,1572,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\include\Response.php,365,225,121,19,32,38,108,377,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,1048,681,362,135,97,4,270,838,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\az_AZ.php,101,97,1,1,4,8,0,43,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\bg_BG.php,101,97,1,1,4,8,0,43,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\ca.php,100,97,1,1,3,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\cs.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\da.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\de.php,101,97,1,1,4,8,0,40,0,0
